,id,title,context,question,answers
10,5726f36cdd62a815002e95fe,Pharmacy,"Specialty pharmacies supply high cost injectable, oral, infused, or inhaled medications that are used for chronic and complex disease states such as cancer, hepatitis, and rheumatoid arthritis. Unlike a traditional community pharmacy where prescriptions for any common medication can be brought in and filled, specialty pharmacies carry novel medications that need to be properly stored, administered, carefully monitored, and clinically managed. In addition to supplying these drugs, specialty pharmacies also provide lab monitoring, adherence counseling, and assist patients with cost-containment strategies needed to obtain their expensive specialty drugs. With 19 of 28 newly FDA approved medications in 2013 being specialty drugs, it is currently the fastest growing sector of the pharmaceutical industry.",What is the fastest growing area in the pharmaceutical industry?,"{'text': ['specialty pharmacies', 'specialty pharmacies', 'specialty pharmacies'], 'answer_start': [485, 485, 485]}"
11,57283dbeff5b5019007d9fc7,Doctor_Who,"It has won the Short Form of the Hugo Award for Best Dramatic Presentation, the oldest science fiction/fantasy award for films and series, six times (every year since 2006, except for 2009, 2013 and 2014). The winning episodes were ""The Empty Child""/""The Doctor Dances"" (2006), ""The Girl in the Fireplace"" (2007), ""Blink"" (2008), ""The Waters of Mars"" (2010), ""The Pandorica Opens""/""The Big Bang"" (2011), and ""The Doctor's Wife"" (2012). Doctor Who star Matt Smith won Best Actor in the 2012 National Television awards alongside Karen Gillan who won Best Actress. It has been nominated for over 200 awards and has won over a hundred of them.","How many awards has Doctor Who been nominated for, over the years?","{'text': ['over 200', 'over 200', 'over 200'], 'answer_start': [596, 596, 596]}"
12,5728fb6a1d04691400778ef6,Civil_disobedience,"One theory is that, while disobedience may be helpful, at the end of the day an abundance of it would undermine the law by encouraging general disobedience which is neither conscientious nor of social benefit. Therefore, conscientious lawbreakers must be punished. Michael Bayles argues that if a person violates a law in order to create a test case as to the constitutionality of a law, and then wins his case, then that act did not constitute civil disobedience. It has also been argued that breaking the law for self-gratification, as in the case of a homosexual or cannabis user who does not direct his act at securing the repeal of amendment of the law, is not civil disobedience. Likewise, a protestor who attempts to escape punishment by committing the crime covertly and avoiding attribution, or by denying having committed the crime, or by fleeing the jurisdiction, is generally viewed as not being a civil disobedient.",Why should disobedience by the general public be avoided?,"{'text': ['neither conscientious nor of social benefit', 'neither conscientious nor of social benefit', 'any great amount of it would undermine the law', 'conscientious lawbreakers'], 'answer_start': [147, 147, 55, 203]}"
13,572864542ca10214002da2df,University_of_Chicago,"The Maroons, who compete as members of the University Athletic Association (UAA) in NCAA's Division III and not Division IV. The university was a founding member of the Big Ten Conference and participated in the NCAA Division I Men's Basketball and Football and was a regular participant in the Men's Basketball tournament. In 1935, the University of Chicago reached the Sweet Sixteen. In 1935, Chicago Maroons football player Jay Berwanger became the first winner of the Heisman Trophy. However, the university chose to withdraw from the conference in 1946 after University President Robert Maynard Hutchins de-emphasized varsity athletics in 1939 and dropped football. (In 1969, Chicago reinstated football as a Division III team, resuming playing its home games at the new Stagg Field.)",The Maroons compete in what league division?,"{'text': [""NCAA's Division III"", ""NCAA's Division III""], 'answer_start': [27, 27]}"
14,5729f9953f37b31900478622,Immune_system,"Hormones can act as immunomodulators, altering the sensitivity of the immune system. For example, female sex hormones are known immunostimulators of both adaptive and innate immune responses. Some autoimmune diseases such as lupus erythematosus strike women preferentially, and their onset often coincides with puberty. In contrast to immunostimulators, male sex hormones such as testosterone act as immunosuppressive. Other hormones appear to regulate the immune system as well, most notably prolactin, growth hormone and vitamin D.",What is the effect of testosterone on the male immune system?,"{'text': ['immunosuppressive', 'immunosuppressive', 'immunosuppressive'], 'answer_start': [383, 383, 383]}"
15,57266ab3dd62a815002e8438,Newcastle_upon_Tyne,"During the English Civil War, the North declared for the King. In a bid to gain Newcastle and the Tyne, Cromwell's allies, the Scots, captured the town of Newburn. In 1644 the Scots then captured the reinforced fortification on the Lawe in South Shields following a siege. In 1644 the city was then besieged for many months and was eventually stormed ('with roaring drummes') and sacked by Cromwell's allies. The grateful King bestowed the motto ""Fortiter Defendit Triumphans"" (""Triumphing by a brave defence"") upon the town. This led to the improsenment of Charles I in Newcastle by the Scots in 1646–7.",Who was imprisoned in Newcastle by the Scots in 1646 through 1647?,"{'text': ['Charles I', 'Charles I', 'Charles I'], 'answer_start': [526, 526, 526]}"
16,572801823acd2414000df1ff,Doctor_Who,"The serial format changed for the 2005 revival, with each series usually consisting of 13 45-minute, self-contained episodes (60 minutes with adverts, on overseas commercial channels), and an extended episode broadcast on Christmas Day. Each series includes several standalone and multi-part stories, linked with a loose story arc that resolves in the series finale. As in the early ""classic"" era, each episode, whether standalone or part of a larger story, has its own title. Occasionally, regular-series episodes will exceed the 45-minute run time; notably, the episodes ""Journey's End""  and ""The Eleventh Hour"" from 2008 and 2010 respectively exceeded an hour in length.","In what year did ""The Eleventh Hour"" play?","{'text': ['2010', '2010', '2010'], 'answer_start': [628, 628, 628]}"
17,572914441d04691400779029,Kenya,"In December 2014, President Uhuru Kenyatta signed a Security Laws Amendment Bill, which supporters of the law suggested was necessary to guard against armed groups. Opposition politicians, human rights groups, and nine Western countries criticised the security bill, arguing that it infringed on democratic freedoms. As a cautionary to its impact, the governments of the United States, Britain, Germany and France also collectively issued a press statement. Through the Jubillee Coalition, the Bill was later passed on 19 December in the National Assembly under acrimonious circumstances.",Who warned of the potential impact?,"{'text': ['of the United States, Britain, Germany and France', 'governments', 'governments of the United States, Britain, Germany and France'], 'answer_start': [333, 321, 321]}"
18,56f8aa749b226e1400dd0da9,Martin_Luther,"The Ten Commandments, and the beginnings of the renewed life of Christians accorded to them by the sacrament of baptism, are a present foreshadowing of the believers' future angel-like life in heaven in the midst of this life. Luther's teaching of the Ten Commandments, therefore, has clear eschatological overtones, which, characteristically for Luther, do not encourage world-flight but direct the Christian to service to the neighbor in the common, daily vocations of this perishing world.",What does the Ten Commandments ask of the Christians?,"{'text': ['service to the neighbor', 'service to the neighbor in the common', 'service to the neighbor in the common, daily vocations of this perishing world'], 'answer_start': [413, 413, 413]}"
19,5726ce11f1498d1400e8ebc7,Victoria_and_Albert_Museum,"The National Art Library (also called Word and Image Department) at the Victoria and Albert Museum collection catalog used to be kept in different formats including printed exhibit catalogs, and card catalogs. A computer system called MODES cataloging system was used from the 1980s to the 1990s, but those electronic files were not available to the library users. All of the archival material at the National Art Library is using Encoded Archival Description (EAD). The Victoria and Albert Museum has a computer system but most of the items in the collection, unless those were newly accessioned into the collection, probably do not show up in the computer system. The Victoria and Albert Museum web-site offers a ""Search the Collections,"" but not everything is listed there.",What is the search feature on the V&A website called?,"{'text': ['Search the Collections', 'Search the Collections,', 'Search the Collections'], 'answer_start': [736, 736, 736]}"
20,572683e6f1498d1400e8e24e,Newcastle_upon_Tyne,"Newcastle Mela, held on the late August bank holiday weekend, is an annual two-day multicultural event, blending drama, music and food from Punjabi, Pakistani, Bengali and Hindu cultures. NewcastleGateshead also holds an annual International Arts Fair. The event in the year after 2008 will be hosted at the Norman Foster designed Sage Gateshead Music and Arts Centre in September. In October, there is the Design Event festival—an annual festival providing the public with an opportunity to see work by regional, national and international designers. The SAMA Festival, an East Asian cultural festival is also held in early October. 2009's event is believed to expect a lot of visitors at the center.",Where will the 2009 International Arts Fair be held?,"{'text': ['Sage Gateshead Music and Arts Centre', 'Sage Gateshead Music and Arts Centre', 'Gateshead Music and Arts Centre'], 'answer_start': [306, 306, 311]}"
21,57264a74708984140094c18c,Black_Death,"Gasquet (1908) claimed that the Latin translation atra mors (Black Death) for the 14th-century epidemic first appeared in modern times in 1631 in a book on Danish history by J.I. Pontanus: ""Vulgo & ab effectu atram mortem vocatibant. (""Commonly and from its effects, they called it the black death""). The name spread through Scandinavia and then Germany, gradually becoming attached to the mid 14th-century epidemic as a proper name. In England, it was not until 1823 that the medieval epidemic was first called the Black Death.",What is the Latin name for Black Death?,"{'text': ['atra mors', 'atra mors', 'atra mors'], 'answer_start': [43, 43, 43]}"
22,57280f0d3acd2414000df35f,Doctor_Who,"The programme's first serial, An Unearthly Child, shows that the Doctor has a granddaughter, Susan Foreman. In the 1967 serial, Tomb of the Cybermen, when Victoria Waterfield doubts the Doctor can remember his family because of, ""being so ancient"", the Doctor says that he can when he really wants to—""The rest of the time they sleep in my mind"". The 2005 series reveals that the Ninth Doctor thought he was the last surviving Time Lord, and that his home planet had been destroyed; in ""The Empty Child"" (2005), Dr. Constantine states that, ""Before the war even began, I was a father and a grandfather. Now I am neither."" The Doctor remarks in response, ""Yeah, I know the feeling."" In ""Smith and Jones"" (2007), he replied, ""No, not any more"" when asked if he had a brother. In both ""Fear Her"" (2006) and ""The Doctor's Daughter"" (2008), he states that he had, in the past, been a father and a nephew to his brother.",In what episode did Doctor Who acknowledge having had a brother?,"{'text': ['Smith and Jones', 'Smith and Jones', 'Smith and Jones'], 'answer_start': [686, 686, 686]}"
23,56f8b9839e9bad19000a03c2,Martin_Luther,"At the heart of scholars' debate about Luther's influence is whether it is anachronistic to view his work as a precursor of the racial antisemitism of the Nazis. Some scholars see Luther's influence as limited, and the Nazis' use of his work as opportunistic. Biographer Martin Brecht points out that ""There is a world of difference between his belief in salvation and a racial ideology. Nevertheless, his misguided agitation had the evil result that Luther fatefully became one of the 'church fathers' of anti-Semitism and thus provided material for the modern hatred of the Jews, cloaking it with the authority of the Reformer."" Johannes Wallmann argues that Luther's writings against the Jews were largely disregarded in the 18th and 19th centuries, and that there was no continuity between Luther's thought and Nazi ideology. When asked if they were ignored in the 20th century, he expressed his denial in the belief. Uwe Siemon-Netto agreed, arguing that it was because the Nazis were already anti-Semites that they revived Luther's work. Hans J. Hillerbrand agreed that to focus on Luther was to adopt an essentially ahistorical perspective of Nazi antisemitism that ignored other contributory factors in German history. Similarly, Roland Bainton, noted church historian and Luther biographer, wrote ""One could wish that Luther had died before ever [On the Jews and Their Lies] was written. His position was entirely religious and in no respect racial.""","When was Luther's writings about the Jews ignored, according to Johannes Wallmann?","{'text': ['18th and 19th centuries', '18th and 19th centuries', '18th and 19th centuries'], 'answer_start': [724, 724, 724]}"
24,57286192ff5b5019007da1df,Yuan_dynasty,"In 1271, Kublai Khan imposed the name Great Yuan (Chinese: 大元; pinyin: Dà Yuán; Wade–Giles: Ta-Yüan), establishing the Yuan dynasty. ""Dà Yuán"" (大元) is from the sentence ""大哉乾元"" (dà zai Qián Yuán / ""Great is Qián, the Primal"") in the Commentaries on the Classic of Changes (I Ching) section regarding Qián (乾). The counterpart in Mongolian language was Dai Ön Ulus, also rendered as Ikh Yuan Üls or Yekhe Yuan Ulus. In Mongolian, Dai Ön (Great Yuan) is often used in conjunction with the ""Yeke Mongghul Ulus"" (lit. ""Great Mongol State""), resulting in Dai Ön Yeke Mongghul Ulus (Mongolian script: ), meaning ""Great Yuan Great Mongol State"". The Yuan dynasty is also known as the ""Mongol dynasty"" or ""Mongol Dynasty of China"", similar to the names ""Manchu dynasty"" or ""Manchu Dynasty of China"" for the Qing dynasty. Furthermore, the Yuan is sometimes known as the ""Empire of the Great Khan"" or ""Khanate of the Great Khan"", which particularly appeared on some Yuan maps, since Yuan emperors held the nominal title of Great Khan. Nevertheless, both terms can also refer to the khanate within the Mongol Empire directly ruled by Great Khans before the actual establishment of the Yuan dynasty by Kublai Khan in 1271.",What does Yeke Mongghul Ulus mean?,"{'text': ['Great Mongol State', 'Great Mongol State', 'Great Mongol State'], 'answer_start': [514, 514, 514]}"
25,57274e145951b619008f87e8,Private_school,"The other category of schools are those run and partly or fully funded by private individuals, private organizations and religious groups. The government funds 'aided' schools while 'un-aided' ones are fully funded by private parties. The standard and the quality of education is quite high. Technically, these would be categorized as private schools, but many of them have the name ""Public School"" appended to them, e.g., the Galaxy Public School in Kathmandu. Most of the middle-class families send their children to such schools, which might be in their own city or far off, like boarding schools. The medium of education is English, but as a compulsory subject, Nepali and/or the state's official language is also taught. Preschool education is mostly limited to organized neighbourhood nursery schools.",How are 'un-aided' schools different from 'aided' schools?,"{'text': ['fully funded by private parties', 'fully funded by private parties', 'fully funded by private parties'], 'answer_start': [240, 240, 240]}"
26,5728ec6a4b864d19001650ad,Civil_disobedience,"When the Committee for Non-Violent Action sponsored a protest in August 1957, at the Camp Mercury nuclear test site near Las Vegas, Nevada, 13 of the protesters attempted to enter the test site knowing that they faced arrest. At a pre-arranged announced time, one at a time they stepped across the ""line"" and were immediately arrested. They were put on a bus and taken to the Nye County seat of Tonopah, Nevada, and arraigned for trial before the local Justice of the Peace, that afternoon. A well known civil rights attorney, Francis Heisler, had volunteered to defend the arrested persons, advising them to petition ""nolo contendere"", as an alternative to pleading either guilty or not-guilty. The arrested persons were found ""guilty,"" nevertheless, and given suspended sentences, conditional on their not reentering the test site grounds.[citation needed]",How did their lawyer suggest they would plea?,"{'text': ['nolo contendere', 'nolo contendere', 'nolo contendere', 'nolo contendere', 'nolo contendere'], 'answer_start': [616, 616, 616, 616, 616]}"
27,5725e36f89a1e219009ac03c,Apollo_program,"The G mission was achieved on Apollo 11 in July 1969 by an all-Gemini veteran crew consisting of Neil Armstrong, Michael Collins and Buzz Aldrin. Armstrong and Aldrin performed the first landing at the Sea of Tranquility at 20:17:40 UTC on July 20, 1969. They spent a total of 21 hours, 36 minutes on the surface, and spent 2 hours, 31 minutes outside the spacecraft, walking on the surface, taking photographs, collecting material samples, and deploying automated scientific instruments, while continuously sending black-and-white television back to Earth. The astronauts came back safely on July 24.",What day did the Apollo 11 crew return to Earth?,"{'text': ['July 24', 'July 24.', 'July 24', 'July 24', 'July 24'], 'answer_start': [592, 592, 592, 592, 592]}"
28,5711628a2419e314009555dd,Steam_engine,"Corliss steam engine which was patented in 1849 was the acme of the horizontal engine. It was a four-valve counter flow engine with separate steam admission and exhaust valves and automatic variable steam cutoff. When Corliss was given the Rumford medal the committee said that ""no one invention since Watt's time has so enhanced the efficiency of the steam engine"". In addition to using 30% less steam, it provided more uniform speed due to variable steam cut off, making it well suited to manufacturing, especially cotton spinning.",What was the ultimate development of the horizontal engine?,"{'text': ['Corliss steam engine', 'Corliss', 'the Corliss steam engine'], 'answer_start': [42, 42, 38]}"
29,572648ed5951b619008f6f07,Black_Death,"From Italy, the disease spread northwest across Europe, striking France, Spain, Portugal and England by June 1348, then turned and spread east through Germany and Scandinavia from 1348 to 1350. A ship landed in Askøy in 1349 which was the beginning of its spread in Norway. Following Norway, it then spread to Bjørgvin (modern Bergen) and Iceland. Finally it spread to northwestern Russia in 1351. The plague was somewhat less common in parts of Europe that had smaller trade relations with their neighbours, including the Kingdom of Poland, the majority of the Basque Country, isolated parts of Belgium and the Netherlands, and isolated alpine villages throughout the continent.",When did a plague-ridden ship land in Norway?,"{'text': ['1349', '1349', '1349'], 'answer_start': [225, 225, 225]}"
